,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,WATER_MA,WATER_VOL,LIQOUT_MA,LIQOUT_VOL,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,Required WOS(kg/h)
0,0.434800055,0.304375294,7469.24646,54.116316,7686.84481,5.68809673,3.99549869,-9.66354964,0.174354803,0.00400184419,0.418076976,0.00699761987,0.147071802,0.00249197255,0.366923514,0.464466414,0.000128945269,0.376210381,3.14457782e-85,1.04835824e-79,2.61193342,1.58984985e-81,0.00148120786,0.0262664784,0.01672307903801186
0,1.68600393,1.18026191,28960.2034,209.680229,29803.6271,22.1126038,15.4932953,-37.4491523,0.677054674,0.0154736895,1.62115763,0.0271343448,0.570200111,0.00967377558,1.42225476,1.80103766,0.000275864272,1.45875696,7.308407e-85,4.09978508e-79,10.1281717,6.15328551e-81,0.00574360962,0.102912963,0.06484630504673954
0,2.97945283,2.08572152,51173.5773,370.447311,52668.3487,38.1651724,27.3808826,-66.150865,1.19898866,0.0275258205,2.86485849,0.047950956,1.0094396,0.017132589,2.51262563,3.18273607,0.000360453719,2.57783724,6.73768945e-87,7.27172834e-79,17.8981846,1.08709538e-80,0.010149925,0.18258391,0.11459433942558195
0,4.31565419,3.02110936,74119.7451,536.457942,76285.2958,55.869889,39.6593694,-95.8153935,1.73579371,0.039973736,4.14966749,0.0694556203,1.46191338,0.0247980329,3.63951186,4.61010618,0.000351720906,3.73388281,2.18238879e-87,1.0513321e-78,25.9250213,1.5757298e-80,0.014701884,0.263791512,0.16598669973214883
0,5.69503045,3.98672113,97810.0917,707.706372,100665.771,74.7289613,52.3334691,-126.436709,2.28894835,0.0529925771,5.47599082,0.0916551361,1.92899973,0.0326905812,4.8028911,6.08359981,0.000169994735,4.92723928,1.3300999e-84,1.38312117e-78,34.2112196,2.08180514e-80,0.0194009258,0.346634869,0.21903963265634865
0,7.1179156,4.98279066,122250.09,884.455776,125810.709,92.4528355,65.4105842,-157.998721,2.86348464,0.0663143684,6.84414961,0.114554879,2.4123754,0.0408983721,6.00211429,7.60356563,0.000118410833,6.15827038,2.42635839e-87,1.73286438e-78,42.7587826,2.60083996e-80,0.0242481841,0.434469504,0.2737659844885739
0,8.58455886,6.00949241,147447.387,1066.96511,151738.822,111.58452,78.8882014,-190.587926,3.45208801,0.0797449177,8.25438352,0.138158859,2.90838165,0.0493112547,7.23960284,9.17027641,0.000508802653,7.42727084,2.87481096e-87,2.08822644e-78,51.56921,3.13632013e-80,0.0292445109,0.523638003,0.3301753409197947
0,10.0951321,7.06694666,173378.023,1254.38336,178435.028,131.316331,92.7695136,-224.087729,4.06067873,0.0941155391,9.70685777,0.162469843,3.42143027,0.057997665,8.51275433,10.7839166,0.00014814405,8.73409049,2.96754516e-87,2.45596394e-78,60.6435348,3.68940577e-80,0.0343904929,0.615648799,0.3882743106817259
0,11.649739,8.15522604,200077.483,1447.5637,205914.009,151.537745,107.055619,-258.597546,4.68595885,0.108599752,11.2016721,0.1874895,3.9482788,0.0669286126,9.82370969,12.4445933,0.000185598845,10.0791065,3.43431674e-87,2.83411984e-78,69.9823782,4.25753995e-80,0.0396864808,0.710446136,0.4480668840949303
0,13.2484254,9.27436261,227537.701,1646.23438,234172.327,172.335963,121.746785,-294.087516,5.32890225,0.123482947,12.7388706,0.213218567,4.49001419,0.0761120347,11.1718714,14.1523571,0.000241726067,11.4622637,3.91171567e-87,3.22292655e-78,79.5860163,4.84176283e-80,0.0451326317,0.807916864,0.5095548227584245
0,14.8911886,10.4243545,255752.635,1850.40765,263219.343,195.39851,136.839947,-330.591744,5.98543413,0.138635617,14.3184506,0.239657002,5.0441665,0.0854839208,12.5582438,15.9072077,0.000333749158,12.8835644,3.61298453e-84,3.61692336e-78,89.454434,5.44349984e-80,0.050728938,0.906455188,0.5727380248310803
0,16.5779868,11.6051724,284734.334,2060.96659,293048.229,217.532123,152.340314,-368.156836,6.65916296,0.153486055,15.9403719,0.266804129,5.61205753,0.0951220233,13.9832541,17.7090932,0.00167624852,14.3432757,3.84028174e-84,4.02231901e-78,99.5873762,6.05834605e-80,0.0564752525,1.00834966,0.637614876846431
0,18.3087466,12.816765,314470.362,2274.88253,323626.534,240.242812,168.245027,-406.440102,7.35999542,0.17062592,17.6045641,0.29465877,6.20253979,0.105110058,15.439866,19.5579447,0.000140306195,15.840301,4.49555274e-84,4.44797318e-78,109.984408,6.69324295e-80,0.0623713326,1.11465365,0.7041825626027046
0,20.0833706,14.0590641,344916.823,2495.27192,354993.642,263.528961,184.552643,-445.822073,8.07387489,0.187262081,19.3109332,0.323219354,6.80413834,0.115303214,16.9361303,21.4536508,3.92394703e-06,17.3756267,4.95928715e-84,4.87960695e-78,120.64494,7.34220819e-80,0.0684168401,1.22278587,0.7724373299697446
0,21.9017428,15.3319884,376154.777,2721.48465,387139.116,287.38914,201.262209,-486.222383,8.80360296,0.203959724,21.0593681,0.352484019,7.41913875,0.125729663,18.4702966,23.3960892,0.000397985347,18.9489352,5.36406949e-84,5.3201045e-78,131.568276,8.00643242e-80,0.0746113816,1.33326257,0.8423747248711078
0,0.773362683,0.541381012,13283.0258,96.1723794,13670.6674,9.9254694,7.10706705,-17.1735148,0.311051479,0.00715075119,0.743617964,0.0124464061,0.262019078,0.00444470521,0.652264146,0.826128319,0.000116929295,0.66912311,2.1069379e-87,1.88210762e-79,4.6457485,2.82368976e-81,0.00263456892,0.0472244903,0.029744718558875866
0,2.99896589,2.09938135,51506.3283,372.704781,53009.7151,38.3176042,27.5604513,-66.5614497,1.20790639,0.0278227307,2.88362105,0.0482649969,1.01665039,0.0172562436,2.52855037,3.2035802,0.000132214365,2.59466221,5.72299426e-87,7.33747677e-79,18.0154035,1.09415076e-80,0.010216399,0.184245243,0.11534484204802173
0,5.29990272,3.71011786,91024.2939,658.578551,93680.7081,68.7136283,48.7040869,-117.643085,2.13236395,0.0493265961,5.09606031,0.0852959979,1.79617273,0.0304582845,4.46905833,5.6615102,0.000122171879,4.58537238,2.20473627e-87,1.29111073e-78,31.837605,1.93601144e-80,0.0180548661,0.323801493,0.20384241220577276
0,7.67707341,5.37422074,131850.337,953.933616,135691.324,99.7339729,70.5489725,-170.409925,3.08839195,0.0715249773,7.38180135,0.123553897,2.6018538,0.044111886,6.47362822,8.20087429,0.00012522295,6.64204128,2.55498772e-87,1.8689236e-78,46.1177585,2.80510083e-80,0.026153034,0.468591243,0.2952720540898388
0,10.1312273,7.09221458,174011.984,1259.10009,179073.784,131.864916,93.1010278,-224.918216,4.07396634,0.0942415772,9.74156472,0.163050756,3.43270343,0.0581921854,8.5438438,10.8224741,0.000465518417,8.76539864,2.87041694e-87,2.46339525e-78,60.8603659,3.70219736e-80,0.034513456,0.617578865,0.389662588739459
0,12.662957,8.86451421,217478.325,1573.40536,223819.522,164.71846,116.366625,-281.081588,5.09377303,0.118095416,12.1759202,0.20379611,4.29187887,0.0727523006,10.6779604,13.5269427,0.000122462806,10.9557014,3.69123057e-87,3.08090018e-78,76.0689874,4.62793068e-80,0.0431381512,0.772291615,0.48703680836742425
0,15.2727046,10.6914291,262297.287,1897.56578,269946.943,198.629628,140.349064,-338.996804,6.14413328,0.142532412,14.6852929,0.245797074,5.17684898,0.0877523942,12.8783129,16.314752,6.56220636e-07,13.2135586,4.50119117e-87,3.7164648e-78,91.7462782,5.58188234e-80,0.0520286251,0.931580891,0.587411716233808
0,17.9607749,12.5731726,308464.74,2231.64061,317461.567,233.606112,165.051134,-398.673575,7.22506643,0.167534634,17.2699759,0.289058554,6.08763616,0.103192152,15.1452144,19.1862275,0.000129374088,15.5392414,5.29935794e-87,4.3700799e-78,107.894069,6.56417391e-80,0.061185916,1.09544289,0.690799035009946
0,20.7273521,14.5098737,355983.169,2575.47642,366363.932,269.605636,190.474641,-460.093908,8.33754768,0.193263408,19.9301462,0.333583515,7.02500715,0.119082698,17.4783331,22.1415663,0.00026747413,17.9328487,6.11966751e-87,5.04275598e-78,124.513467,7.57514105e-80,0.0706106515,1.26408564,0.7972058481250415
0,23.5725171,16.501589,404843.314,2928.92219,416653.097,306.586621,216.620435,-523.239058,9.48243517,0.219865272,22.6658818,0.379373259,7.98963383,0.135433522,19.877293,25.1808553,0.000194607397,20.3943954,6.99492689e-87,5.73540963e-78,141.604959,8.6150728e-80,0.0803031082,1.43769522,0.9066352730959406
0,26.4962657,18.5483157,455067.753,3292.47635,468336.354,344.680769,243.488149,-588.172045,10.6571676,0.246888301,25.4771786,0.426427719,8.97951604,0.152216254,22.3434693,28.304089,0.000593251395,22.9240487,7.82385336e-87,6.44527893e-78,159.168518,9.68318867e-80,0.0902632704,1.61571056,1.0190871441151867
0,29.4985231,20.6500011,506617.8,3665.22023,521399.026,383.645618,271.077696,-654.776297,11.8663837,0.275155596,28.3639645,0.474745688,9.99827411,0.169482302,24.8742846,31.511189,0.000219614281,25.5214324,8.79241139e-87,7.17737654e-78,177.203696,1.07808739e-79,0.100490884,1.79915012,1.1345585793313548
0,32.5791595,22.8065547,559529.53,4048.03428,575871.709,427.495612,299.380486,-723.235025,13.0964316,0.30358926,31.3261149,0.524325081,11.0368489,0.187037499,27.47429,34.8020216,0.000299953359,28.1867422,7.99319721e-84,7.9146044e-78,195.709715,1.19099577e-79,0.11098551,1.98341952,1.2530445961041299
0,35.7380017,25.0178551,613790.541,4440.84663,631712.136,468.945074,328.408058,-793.399971,14.3648307,0.332733781,34.3634632,0.575163108,12.1058134,0.205154158,30.1389867,38.1763898,0.000765435743,30.9198094,8.72342012e-84,8.68065946e-78,214.68553,1.30642941e-79,0.121746552,2.17546939,1.3745385284687668
0,38.9748445,27.2837586,669365.737,4842.55399,688920.908,511.418097,358.152543,-865.19761,15.6681461,0.363322471,37.475812,0.627256467,13.2041074,0.223758841,32.8674003,41.6340821,0.000141870699,33.7200881,9.61711877e-84,9.46918542e-78,234.129911,1.42484929e-79,0.132773316,2.37292379,1.499032481633686
0,0.399663221,0.279778277,6865.01257,49.7508247,7065.70897,5.24159351,3.67261646,-8.88360578,0.1602423,0.00364924723,0.384291558,0.00643213188,0.13508308,0.00229008178,0.337281651,0.426931946,0.000129075324,0.345810868,7.97585151e-87,9.65858275e-80,2.40085911,1.4598395e-81,0.00136150912,0.0242249143,0.015371662334494685
0,1.54954793,1.08473792,26613.3871,192.625121,27391.1259,19.8484106,14.2402126,-34.3989463,0.623750119,0.0143383132,1.48994993,0.0249382383,0.525080519,0.00891225998,1.30665854,1.65527101,0.00013772821,1.34066401,2.97576189e-87,3.78526856e-79,9.3084524,5.65350817e-81,0.0052787529,0.0950471798,0.05959799725210368
0,2.73796088,1.91666868,47024.2881,340.269976,48397.5041,34.8986326,25.1619638,-60.7665067,1.10295361,0.0254133782,2.6326547,0.0440644137,0.928303139,0.0157585525,2.30845392,2.92476712,0.000123872494,2.3688452,6.11988486e-87,6.69995107e-79,16.4474928,9.98846904e-81,0.00932724864,0.168249867,0.10530618783170306
0,3.96537222,2.77589968,68105.7651,492.809151,70092.0721,51.2806782,36.4405292,-88.0241586,1.59553969,0.0368156751,3.8128579,0.0638182243,1.34367783,0.0227926725,3.34378961,4.23592486,0.000176940714,3.43078392,2.05438813e-87,9.66870346e-79,23.8208055,1.44787604e-80,0.0135085991,0.242591904,0.15251431617599434
0,5.23217324,3.66270485,89860.1577,650.24344,92485.0411,68.6554358,48.0801156,-116.167489,2.10267011,0.0486362837,5.03093581,0.0842059678,1.77202096,0.0300310767,4.41268444,5.58916193,0.000231544329,4.52680231,1.21264993e-84,1.27045872e-78,31.4307411,1.91250258e-80,0.0178241373,0.318417458,0.2012374322995483
0,6.53867339,4.57730079,112300.154,812.504664,115574.978,84.7793202,60.0879109,-145.14016,2.63079664,0.0608600366,6.28718595,0.105232624,2.21599823,0.0375758611,5.51361078,6.98480116,0.00014185735,5.65713039,2.61304888e-87,1.59304842e-78,39.2791552,2.38860027e-80,0.0222749132,0.399512783,0.25148743814775165
0,7.88510352,5.51984913,135422.685,979.780723,139371.577,102.411289,72.4607234,-175.026903,3.17214713,0.0734682415,7.58183031,0.126901909,2.67240779,0.0453082113,6.64902877,8.42309812,0.000125626895,6.82202378,2.70581753e-87,1.91963209e-78,47.3674382,2.88110713e-80,0.026861718,0.481306118,0.30327321241531385
0,9.27162281,6.49046127,159234.552,1152.04431,163879.019,120.408259,85.2022658,-205.800811,3.73006131,0.0864065518,8.91502193,0.149216384,3.14241677,0.0532767433,7.81813422,9.90421858,0.000118462356,8.02160344,3.201385e-87,2.25732123e-78,55.6965447,3.38774755e-80,0.0315850916,0.565970017,0.35660087735318924
0,10.6983274,7.48920455,183735.976,1329.22943,189095.711,139.132027,98.312669,-237.463859,4.30385223,0.0998341519,10.2868533,0.172177597,3.62628858,0.0614690309,9.02111036,11.4282678,1.3757463e-05,9.25592621,3.17676823e-87,2.60329942e-78,64.2670534,3.91001945e-80,0.0364453631,0.652553887,0.41147413122515175
0,12.1652597,8.51610863,208933.241,1511.61726,215026.495,158.239659,111.793019,-270.040348,4.8933451,0.113409037,11.6973651,0.195786229,4.12301569,0.0698905605,10.2584145,12.9952877,0.000188903641,10.5251229,3.59694048e-87,2.95956314e-78,73.0792173,4.4459518e-80,0.041442675,0.741890354,0.4678946043309125
0,13.6724173,9.57117181,234813.576,1698.73865,241673.192,179.406112,125.640302,-303.508144,5.4965562,0.127485071,13.1465551,0.220042242,4.63214408,0.0784962575,11.5298296,14.6052808,2.59914503e-06,11.8290313,3.35776731e-84,3.32194785e-78,82.1330241,4.99845978e-80,0.0465770217,0.832448894,0.5258622032459657
0,15.2197613,10.6543669,261421.605,1893.06701,269048.843,199.752376,139.858618,-338.118969,6.10867385,0.140336259,14.6343858,0.24494501,5.14987989,0.0872732157,12.8403512,16.258199,0.00284313307,13.1684661,2.39078831e-86,3.68327874e-78,91.4282368,5.56285846e-80,0.0518482663,0.923214306,0.5853754331782167
0,16.8072238,11.7656464,288671.373,2089.28082,297098.159,220.540112,154.446877,-373.225092,6.75207121,0.155772635,16.1607921,0.270493442,5.69033379,0.0964458202,14.176132,17.9539714,0.001447335,14.5415485,3.93974803e-84,4.07878046e-78,100.96445,6.14246633e-80,0.0572561811,1.02244573,0.6464316849747984
0,18.4347145,12.904947,316615.948,2290.87382,325857.757,241.895678,169.402528,-409.277918,7.40911173,0.171496528,17.7256871,0.296686082,6.24397103,0.105817724,15.5469788,19.6925066,0.000605787373,15.9494018,4.4735213e-84,4.4770281e-78,110.741123,6.73864109e-80,0.0628004595,1.12204425,0.7090274825707611
0,20.1021261,14.0721936,345244.239,2497.87737,355328.915,263.775023,184.724946,-446.272009,8.08018218,0.187191237,19.3289674,0.323521203,6.80948528,0.115398415,16.952662,21.4736853,0.000380283942,17.3919477,4.91906995e-84,4.88290702e-78,120.757608,7.34853113e-80,0.0684807328,1.22370238,0.7731586959296146
0,0.513223603,0.359274529,8823.53171,-6477.76497,7854.04349,1.35554854,12.5722675,-8.53708249,8.51762871,0.00329553373,0.493484233,0.00825975903,8.5164215,0.0786761849,0.16320975,0.541284059,0.000436087657,0.267442411,2.46939981e-85,1.33063685e-84,3.08052135,9.89658437e-83,0.0017451597,6.27462086e-06,0.019739369337248503
0,1.98988545,1.39298963,34176.0966,247.411357,35175.5277,25.4294694,18.2869575,-44.1791666,0.800898273,0.0183912439,1.91335139,0.0320249774,0.674274282,0.0114444353,1.6780771,2.12565208,0.000241998346,1.72165899,5.50381757e-87,4.85765894e-79,11.9536503,7.26022733e-81,0.00677882459,0.121972182,0.07653405573221903
0,3.51609374,2.46138899,60390.3419,436.985512,62150.9729,46.1542984,32.3103632,-78.0711132,1.41271656,0.0327810217,3.38085937,0.0565875905,1.19121443,0.0201759169,2.96551997,3.75599694,0.000173115381,3.04207927,6.18785945e-87,8.51671617e-79,21.1218993,1.28627532e-80,0.011978071,0.213282464,0.13523437479875916
0,5.09245135,3.56489462,87461.39,632.814113,90010.5731,65.906748,46.7979419,-113.035862,2.04919484,0.0473507892,4.89658783,0.0819573004,1.72578467,0.0292719512,4.29406312,5.43990362,0.000136487415,4.40589414,2.33421074e-87,1.24171134e-78,30.5914016,1.85967575e-80,0.0173481532,0.311505408,0.1958635133209063
0,6.71946,4.70385776,115403.44,834.932815,118772.595,88.171322,61.7472955,-149.170994,2.70103131,0.06259338,6.46101923,0.108142182,2.27627194,0.0385744431,5.66664173,7.17792591,9.56602448e-05,5.81353128,1.58362255e-84,1.63226801e-78,40.3651788,2.45643086e-80,0.02289079,0.409050707,0.2584407690982656
0,8.39751657,5.87855624,144222.5,1043.49946,148428.61,109.08685,77.1695334,-186.407119,3.37802323,0.0782001115,8.07453516,0.135148623,2.84587474,0.0482498083,7.08125339,8.97047265,0.000199085863,7.265369,2.85190277e-87,2.04407186e-78,50.4456087,3.06827245e-80,0.0286073252,0.512517382,0.3229814065167743
0,10.126917,7.08919724,173935.213,1258.57674,178999.891,131.799575,93.0614321,-224.823905,4.0721985,0.0941919568,9.73742023,0.162981387,3.43121497,0.0581671897,8.54023604,10.8178697,0.000482172558,8.76167367,2.91143833e-87,2.46230485e-78,60.8344732,3.70059808e-80,0.0344987724,0.617309562,0.3894968090578943
0,11.9078655,8.33592368,204517.902,1479.78076,210478.053,154.937268,109.427579,-264.345752,4.7890456,0.11087622,11.4498707,0.191643758,4.03518381,0.0684034646,10.0417722,12.7203314,0.000385268635,10.3024811,3.46839059e-87,2.8961096e-78,71.5329974,4.35164411e-80,0.0405658251,0.726024447,0.45799482858843243
0,13.7404854,9.61882187,235989.54,1707.39265,242869.406,178.744063,126.268569,-305.012336,5.52673699,0.128054915,13.2120052,0.221137722,4.65671109,0.0789380159,11.5868499,14.67799,0.0002718403,11.8879891,4.04276649e-87,3.34253292e-78,82.5419218,5.02156197e-80,0.0468089036,0.837904403,0.5284802070333101
0,15.6248309,10.9379298,268345.8,1941.39958,276174.613,203.215501,143.584913,-346.82306,6.28539915,0.145744956,15.0238759,0.251464152,5.29589782,0.0897715147,13.1754566,16.6909034,0.000115118699,13.518238,4.63864369e-87,3.80171899e-78,93.861573,5.7104366e-80,0.0532281928,0.952974742,0.6009550342398072
0,17.560899,12.2932454,301609.289,2182.30256,310400.974,228.484996,161.376253,-389.841564,7.06245811,0.163492476,16.8854798,0.282622999,5.95073454,0.100875723,14.8089738,18.7590676,0.000600891618,15.1933969,5.15306679e-87,4.27087841e-78,105.491932,6.41746699e-80,0.0598236816,1.07067098,0.6754191915335521
0,19.5486398,13.6847338,335741.168,2429.0789,345544.574,256.512404,179.638784,-433.981758,7.85780487,0.182057418,18.796769,0.314613461,6.62207985,0.112221741,16.4858338,20.882435,0.000338888485,16.913075,4.76763276e-84,4.74856255e-78,117.432702,7.14625828e-80,0.0665952037,1.19002444,0.7518707616080181
0,21.5879664,15.1123339,370757.409,2682.21597,381588.74,283.271924,198.378864,-479.222451,8.67872824,0.201287341,20.75766,0.347434138,7.31387125,0.123941133,18.2049551,23.0609045,1.04096508e-05,18.6773667,5.32172563e-84,5.24515367e-78,129.683356,7.89226648e-80,0.0735424582,1.31438889,0.8303063988558994
0,23.6787627,16.5759647,406667.124,2942.11531,418547.512,310.706789,217.591852,-525.650557,9.51869696,0.220668701,22.7680411,0.381083164,8.02175611,0.135938958,19.9684357,25.2943548,0.000184455237,20.4863145,5.82297993e-84,5.75257786e-78,142.2432,8.65639465e-80,0.0806650513,1.44158491,0.9107216441507788
0,25.8208914,18.07553,443491.898,3210.44379,456428.483,336.446806,237.280439,-573.421886,10.3757121,0.238882519,24.8277802,0.415558326,8.74298851,0.148228594,21.7791911,27.582631,0.00316327789,22.3403755,7.19170719e-87,6.27032922e-78,155.111403,9.43335295e-80,0.0879625095,1.57236145,0.993111209328958
0,3.67063679,2.56957454,63040.7837,456.173923,64882.8066,47.4954661,33.7318508,-81.4837211,1.47672147,0.0341859848,3.52945845,0.0590747877,1.24419427,0.0210940281,3.09533644,3.92108164,0.000155513074,3.17578119,2.54144325e-87,8.93212763e-79,22.05027,1.34124503e-80,0.0125045423,0.223946257,0.14117833812924108
0,14.2332149,9.9637498,244447.097,1768.5973,251592.952,186.802281,130.793302,-315.986704,5.72064297,0.13278846,13.6857835,0.229067651,4.82243186,0.0816970489,12.0034404,15.2043449,0.000251611071,12.3142822,1.53200664e-84,3.45291594e-78,85.5018521,5.20547467e-80,0.0484874598,0.864937359,0.547431341122011
0,25.1520688,17.6073306,431968.913,3125.04968,444545.365,327.254413,231.135589,-558.285491,10.118158,0.23470072,24.1846815,0.404794374,8.52527051,0.144511446,21.2089527,26.8681791,2.40110019e-05,21.7609409,6.98715876e-87,6.12013336e-78,151.093651,9.19262204e-80,0.0856840741,1.53408877,0.9673872597933734
0,36.4314868,25.503319,625685.998,4526.54575,643916.451,473.935458,334.788212,-808.656266,14.6554921,0.339897308,35.0302758,0.586323974,12.3482994,0.209315248,30.7202241,38.9171849,0.000131733166,31.5196356,1.03966028e-86,8.86451679e-78,218.851435,1.33149087e-79,0.124109005,2.22202583,1.4012110313210153
0,48.075039,33.6542141,825691.394,5973.94263,849734.444,625.521783,441.786632,-1067.19254,19.3359456,0.447898701,46.225999,0.773713904,16.2921232,0.276175759,40.5403611,51.3551682,0.00114054486,41.5935956,1.3786268e-86,1.16938449e-77,288.796647,1.75692059e-79,0.163774408,2.93143611,1.8490399611120958
0,60.0855478,42.0619916,1031998.89,7467.14005,1062041.44,781.944736,552.15706,-1333.90054,24.1629376,0.559135937,57.7745652,0.96700959,20.3594849,0.345132612,50.670503,64.185145,0.0024334861,51.9851083,1.72346094e-86,1.46112913e-77,360.946243,2.19572938e-79,0.204689901,3.66298906,2.3109826067591457
0,72.4651192,50.728126,1244585.82,9004.81101,1280850.39,942.796602,665.919924,-1608.62487,29.1454958,0.675067257,69.6779992,1.16624493,24.557481,0.416288145,61.1080323,77.4093677,0.00183795988,62.6954518,2.10882795e-86,1.7626228e-77,435.312875,2.64824537e-79,0.24686266,4.41861111,2.787119969833767
0,85.2152053,59.6536336,1463507.4,10587.609,1506195.16,1108.23279,783.088234,-1891.45692,34.2817421,0.795276358,81.9376974,1.37144328,28.8846833,0.489622211,71.855495,91.0293868,2.09044733e-06,73.7260444,2.52307658e-86,2.07363928e-77,511.905266,3.11445404e-79,0.290297631,5.19784893,3.277507894623947
0,98.3366832,68.8391285,1688912.68,12219.4217,1738147.71,1279.24795,903.667586,-2182.89815,39.552713,0.916355595,94.5545031,1.58261877,33.3263083,0.564930047,82.9240318,105.046132,0.00209027659,85.078939,2.89106933e-86,2.39209744e-77,590.728682,3.59377316e-79,0.334997796,5.9965204,3.7821801233678976
0,111.829939,78.2848812,1920613.57,13894.7745,1976632.22,1454.40114,1027.66515,-2482.25478,44.986833,1.04330439,107.528788,1.79977761,37.9045584,0.642523443,94.2987461,119.460027,0.000552966,96.7525785,3.32386041e-86,2.72107328e-77,671.785448,4.08710096e-79,0.38096448,6.82084678,4.301151511403719
0,125.694952,87.9908765,2158718.09,15617.1223,2221699.87,1634.60133,1155.07845,-2789.96424,50.5663721,1.17299205,120.860531,2.02291946,42.6055882,0.722206222,105.989165,134.271042,0.000117839061,108.748128,3.75152404e-86,3.05865221e-77,755.075431,4.59389386e-79,0.428197604,7.66694344,4.834421225485817
0,139.931374,97.9568718,2403278.69,17385.9883,2473337.93,1819.72723,1285.9046,-3105.96528,56.2934291,1.30580963,134.549399,2.25203874,47.4310293,0.804002592,117.993788,149.478807,0.000191941934,121.06514,4.18321348e-86,3.40506176e-77,840.59655,5.11419977e-79,0.476695988,8.53527847,5.381975942101326
0,154.538563,108.182417,2654195.13,19200.9045,2731624.15,2027.81657,1420.10524,-3430.54516,62.1265124,1.44083915,148.594772,2.48712508,52.3562158,0.887248129,130.32148,165.082665,0.00024422091,133.702929,3.80612359e-83,3.75466864e-77,928.34495,5.64962732e-79,0.526457455,9.40901806,5.943790899547868
0,169.515719,118.666951,2911315.29,21061.8857,2996261.54,2204.44858,1557.77103,-3762.65695,68.1944243,1.58173128,162.995884,2.72816563,57.4584692,0.973961752,142.940395,181.081674,0.000431021888,146.660828,5.07930377e-86,4.12494098e-77,1018.31579,6.19549854e-79,0.577479236,10.3396736,6.519835351904718
0,184.861854,129.409784,3174967.6,22968.434,3267511.71,2403.95246,1698.79505,-4103.25484,74.3688567,1.72511067,177.751783,2.97514448,62.6607826,1.06216297,155.880279,197.474865,0.000238895464,159.937868,5.54870663e-86,4.49840924e-77,1110.50318,6.75631142e-79,0.629758011,11.2759176,7.110071306539481
